"book_id","title","genre","author_id"
1,"title1","mystery",5
2,"title2","horror",7
3,"title3","fantasy",14
4,"title4","scifi",8
5,"title5","romcom",18
6,"title6","tragedy",20
7,"title7","fantasy",2
8,"title8","horror",16
9,"title9","scifi",11
10,"title10","romcom",13
11,"title11","tragedy",4
12,"title12","fantasy",16
13,"title13","horror",5
14,"title14","horror",9
15,"title15","scifi",15
16,"title16","romcom",1
17,"title17","tragedy",12
18,"title18","mystery",19
19,"title19","mystery",8
20,"title20","horror",17
21,"title21","romcom",20
22,"title22","tragedy",5
23,"title23","scifi",1
24,"title24","horror",12
25,"title25","horror",15
26,"title26","scifi",3
27,"title27","scifi",19
28,"title28","romcom",14
29,"title29","tragedy",17
30,"title30","horror",2
31,"title31","mystery",5
32,"title32","tragedy",20
33,"title33","tragedy",8
34,"title34","romcom",15
35,"title35","horror",13
36,"title36","horror",6
37,"title37","horror",11
38,"title38","scifi",4
39,"title39","romcom",17
40,"title40","fantasy",2
41,"title41","fantasy",19
42,"title42","horror",5
43,"title43","tragedy",20
44,"title44","romcom",16
45,"title45","romcom",14
46,"title46","romcom",2
47,"title47","horror",17
48,"title48","mystery",1
49,"title49","scifi",13
50,"title50","tragedy",6
51,"title51","scifi",9
52,"title52","romcom",3
53,"title53","fantasy",17
54,"title54","horror",2
55,"title55","scifi",11
56,"title56","horror",14
57,"title57","tragedy",12
58,"title58","fantasy",9
59,"title59","fantasy",19
60,"title60","scifi",13
61,"title61","romcom",7
62,"title62","horror",18
63,"title63","horror",15
64,"title64","tragedy",2
65,"title65","tragedy",13
66,"title66","tragedy",1
67,"title67","scifi",15
68,"title68","fantasy",9
69,"title69","horror",6
70,"title70","romcom",19
71,"title71","scifi",11
72,"title72","tragedy",18
73,"title73","scifi",12
74,"title74","scifi",4
75,"title75","horror",14
76,"title76","fantasy",16
77,"title77","fantasy",1
78,"title78","romcom",20
79,"title79","tragedy",20
80,"title80","scifi",2
81,"title81","tragedy",17
82,"title82","fantasy",9
83,"title83","scifi",11
84,"title84","horror",14
85,"title85","horror",19
86,"title86","scifi",1
87,"title87","scifi",7
88,"title88","romcom",13
89,"title89","tragedy",19
90,"title90","horror",8
91,"title91","horror",5
92,"title92","fantasy",17
93,"title93","fantasy",1
94,"title94","scifi",8
95,"title95","scifi",19
96,"title96","scifi",2
97,"title97","tragedy",14
98,"title98","horror",6
99,"title99","romcom",18
100,"title100","mystery",3
101,"title101","mystery",19
102,"title102","mystery",1
103,"title103","horror",6
104,"title104","fantasy",12
105,"title105","romcom",15
106,"title106","tragedy",17
107,"title107","scifi",19
108,"title108","mystery",2
109,"title109","scifi",18
110,"title110","scifi",20
111,"title111","scifi",11
112,"title112","horror",16
113,"title113","mystery",16
114,"title114","tragedy",4
115,"title115","tragedy",13
116,"title116","romcom",12
117,"title117","romcom",18
118,"title118","fantasy",16
119,"title119","scifi",5
120,"title120","tragedy",7
121,"title121","horror",11
122,"title122","horror",12
123,"title123","romcom",15
124,"title124","fantasy",11
125,"title125","horror",13
126,"title126","scifi",4
127,"title127","romcom",16
128,"title128","tragedy",5
129,"title129","fantasy",9
130,"title130","horror",15
131,"title131","horror",1
132,"title132","scifi",12
133,"title133","romcom",19
134,"title134","tragedy",8
135,"title135","mystery",14
136,"title136","mystery",17
137,"title137","horror",2
138,"title138","tragedy",5
139,"title139","fantasy",20
140,"title140","fantasy",8
141,"title141","scifi",15
142,"title142","romcom",13
143,"title143","horror",6
144,"title144","horror",11
145,"title145","tragedy",4
146,"title146","tragedy",17
147,"title147","tragedy",2
148,"title148","scifi",19
149,"title149","fantasy",5
150,"title150","horror",20
151,"title151","romcom",16
152,"title152","scifi",14
153,"title153","tragedy",2
154,"title154","scifi",17
155,"title155","scifi",1
156,"title156","horror",13
157,"title157","fantasy",6
158,"title158","tragedy",9
159,"title159","romcom",3
160,"title160","romcom",17
161,"title161","fantasy",2
162,"title162","scifi",11
163,"title163","tragedy",14
164,"title164","horror",12
165,"title165","horror",9
166,"title166","romcom",14
167,"title167","horror",17
168,"title168","tragedy",2
169,"title169","tragedy",5
170,"title170","tragedy",20
171,"title171","scifi",8
172,"title172","fantasy",15
173,"title173","horror",13
174,"title174","romcom",6
175,"title175","scifi",11
176,"title176","tragedy",4
177,"title177","scifi",17
178,"title178","scifi",2
179,"title179","horror",19
180,"title180","fantasy",5
181,"title181","fantasy",20
182,"title182","romcom",16
183,"title183","tragedy",14
184,"title184","scifi",2
185,"title185","tragedy",17
186,"title186","fantasy",1
187,"title187","scifi",13
188,"title188","horror",6
189,"title189","horror",9
190,"title190","scifi",3
191,"title191","scifi",17
192,"title192","romcom",2
193,"title193","tragedy",11
194,"title194","horror",14
195,"title195","mystery",12
196,"title196","horror",9
197,"title197","fantasy",19
198,"title198","scifi",13
199,"title199","romcom",2
200,"title200","tragedy",1
